key,en,fa,pl
menu.go_to.nav_marks,Navigation Marks...,علائم ناوبری...,Znaczniki nawigacji...
menu.go_to.table_of_contents,Table Of Contents...,فهرست محتوا...,Spis treści...
menu.go_to.bookmarks,Bookmarks...,نشانک‌ها...,Zakładki...
menu.go_to.toggle_bookmark,Toggle Bookmark,تغییر وضعیت نشانک,Przełącz zakładkę
menu.go_to.remove_all_bookmarks,Remove All Bookmarks,حذف همه نشانک‌ها,Usuń wszystkie zakładki
menu.command,Command,دستور,Polecenie
menu.command.palette,Command Palette...,پالت دستورات...,Paleta poleceń...
menu.format,Format,قالب,Formatuj
menu.format.auto_format,Auto Format,قالب‌بندی خودکار,Automatyczne formatowanie
menu.format.indentation,Indentation,تورفتگی,Wcięcie
menu.format.indentation.auto_indentation,Auto Indentation,تورفتگی خودکار,Automatyczne wcięcie
menu.format.indentation.remove_all_indents,Remove All Indents,حذف همه تورفتگی‌ها,Usuń wszystkie wcięcia
menu.format.indentation.auto_indent,Auto Indent,تورفتگی خودکار,Automatyczne wcięcie
menu.format.indentation.to_spaces,Convert Indent To Spaces,تبدیل تورفتگی به فاصله,Zmień wcięcie na spacje
menu.format.indentation.to_tabs,Convert Indent To Tabs,تبدیل تورفتگی به تب,Zmień wcięcie na tabulatory
menu.format.indentation.auto_indent_new_lines,Auto Indent New Lines,تورفتگی خودکار خطوط جدید,Automatyczne wcięcie nowych linii
menu.format.indentation.lock_indentation,Lock Indentation Settings,قفل تنظیمات تورفتگی,Zablokuj ustawienia wcięć
menu.format.indentation.reset_mode_indentation,Reset To Mode Indentation Settings,بازنشانی به تنظیمات تورفتگی حالت,Resetuj ustawienia wcięć trybu
menu.format.continue_placeholder_completion,Continue Placeholder Completion,ادامه تکمیل جای‌نگهدار,Kontynuuj uzupełnianie placeholderów
menu.format.save_as_template,Save As Template...,ذخیره به عنوان قالب...,Zapisz jako szablon...
menu.format.templates,Templates...,قالب‌ها...,Szablony...
menu.view,View,نمایش,Widok
menu.view.increase_font,Increase Font Size,افزایش اندازه قلم,Zwiększ rozmiar czcionki
menu.view.reduce_font,Reduce Font Size,کاهش اندازه قلم,Zmniejsz rozmiar czcionki
menu.view.reset_font,Reset Font Size,بازنشانی اندازه قلم,Zresetuj rozmiar czcionki
menu.view.focus_editor,Focus On Editor,تمرکز روی ویرایشگر,Skup się na edytorze
menu.view.line_length_guides,Line Length Guides...,راهنماهای طول خط...,Ustawienia długości linii...
menu.view.show_bookmarks,Show Bookmarks,نمایش نشانک‌ها,Pokaż zakładki
menu.view.show_line_numbers,Show Line Numbers,نمایش شماره خطوط,Pokaż numery linii
menu.view.show_fold_gutter,Show Fold Gutter,نمایش نوار جمع‌کننده,Pokaż panel zwijania
menu.view.show_minimap,Show Minimap,نمایش نقشه کوچک,Pokaż minimapę
menu.view.block_caret,Block Type Caret,نشانگر بلوکی,Kursor blokowy
menu.view.highlight_occurrences,Highlight All Occurrences,برجسته‌سازی همه موارد,Podświetl wszystkie wystąpienia
menu.view.highlight_current_line,Highlight Current Line,برجسته‌سازی خط فعلی,Podświetl bieżącą linię
menu.view.show_control_chars,Show Control Characters,نمایش کاراکترهای کنترل,Pokaż znaki kontrolne
menu.view.show_tabs,Show Tabs,نمایش تب‌ها,Pokaż tabulatory
menu.view.show_spaces,Show Spaces,نمایش فاصله‌ها,Pokaż spacje
menu.view.full_screen,Full Screen,تمام‌صفحه,Pełny ekran
menu.tools,Tools,ابزارها,Narzędzia
menu.tools.color_picker,Color Picker,انتخابگر رنگ,Wybór koloru
menu.tools.security,Security...,امنیت...,Bezpieczeństwo...
menu.tools.counter,Counter...,شمارشگر...,Licznik...
menu.tools.translation,Translation...,ترجمه...,Tłumaczenie...
menu.tools.clipboard_history,Clipboard History,تاریخچه کلیپ‌بورد,Historia schowka
menu.tools.function_creator,Function Creator...,تابع‌ساز...,Kreator funkcji...
menu.tools.documentation,Documentation...,مستندسازی...,Dokumentacja...
menu.tools.auto_completion,Auto Completion...,تکمیل خودکار...,Automatyczne uzupełnianie...
menu.tools.time_management,Time Management...,مدیریت زمان...,Zarządzanie czasem...
menu.tools.calendar,Calendar,تقویم,Kalendarz
menu.tools.by_extensions,By Extensions,بر اساس افزونه‌ها,Rozszerzenia
menu.tools.signature,Signature...,امضا...,Podpis...
menu.tools.date_time,Date & Time...,تاریخ و زمان...,Data i czas...
menu.tools.macros,Macros...,ماکروها...,Makra...
menu.tools.auto_backup,Auto Backup...,پشتیبان‌گیری خودکار...,Automatyczny zapis...
menu.settings,Settings,تنظیمات,Ustawienia
menu.settings.preferences,Preferences...,ترجیحات...,Preferencje...
menu.settings.mode_manager,Mode Manager...,مدیریت حالت‌ها...,Menadżer trybów
menu.settings.extensions,Extensions...,افزونه‌ها...,Rozszerzenia...
menu.settings.marketplace,Marketplace...,بازار...,Rynek...
menu.settings.open_data_folder,Open Data Folder,باز کردن پوشه داده,Otwórz folder danych
menu.help,Help,راهنما,Pomoc
menu.help.github,GitHub Repository,مخزن گیت‌هاب,Repozytorium GitHub
menu.help.mode_library,Mode Library,کتابخانه حالت,Biblioteka trybów
menu.help.forum,Forum,انجمن,Forum
menu.help.feedback,Share Feedback,ارسال بازخورد,Napisz opinię
menu.help.submit_issue,Submit Issue,ثبت اشکال,Zgłoś problem
menu.help.docs,Online Docs,اسناد آنلاین,Dokumentacja online
menu.help.about,About,درباره,Informacje o programie
